,File,Transformation,Pareto Decompression,Pareto Compression,Pareto Compression Decompression,Top 5 Lowest CF Codecs
11,../../../../tiffs/geotiffs/slope-srtm_35_11.tif,valueShift,"""custom_for_vecavx512"" ""FastPFor_JustCopy"" ""simdcomp"" ""TurboPFor_xor+TurboPack256"" ""TurboPFor_Zigzag+TurboPFor256"" ""TurboPFor_Zigzag+TurboVSimple""","""custom_delta_vecavx512"" ""simdcomp"" ""TurboPFor_xor+TurboPack256"" ""TurboPFor_Zigzag+TurboPFor256"" ""TurboPFor_Zigzag+TurboVSimple""","""custom_delta_vecavx512"" ""simdcomp"" ""TurboPFor_xor+TurboPack256"" ""TurboPFor_Zigzag+TurboPFor256"" ""TurboPFor_Zigzag+TurboVSimple""","""TurboPFor_Zigzag+TurboVSimple"" ""[+]_custom_delta_vecavx512+FastPFor_Simple16"" ""TurboPFor_Zigzag+TurboPFor256"" ""[+]_custom_delta_vecavx512+FastPFor_Simple8b"" ""[+]_custom_delta_vecavx512+TurboPFor_TurboVSimple"""
12,../../../../tiffs/geotiffs/2656.tif,No Transformation,"""custom_rle_vecavx512"" ""[+]_custom_rle_vecavx512+simdcomp"" ""[+]_custom_rle_vecavx512+FastPFor_VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDOPTPFor<4,Simple16>+VariableByte"" ""TurboPFor_TurboVSimple""","""simdcomp"" ""custom_rle_vecavx512"" ""[+]_custom_rle_vecavx512+FastPFor_VByte"" ""[+]_custom_rle_vecavx512+MASKEDVBYTE"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDSimplePFor+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDOPTPFor<4,Simple16>+VariableByte"" ""TurboPFor_TurboVSimple""","""simdcomp"" ""custom_rle_vecavx512"" ""[+]_custom_rle_vecavx512+FastPFor_VByte"" ""[+]_custom_rle_vecavx512+MASKEDVBYTE"" ""[+]_custom_rle_vecavx512+FastPFor_NewPFor<4,Simple16>+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastPFor256+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDFastPFor128+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDSimplePFor+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDOPTPFor<4,Simple16>+VariableByte"" ""TurboPFor_TurboVSimple""","""TurboPFor_TurboVSimple"" ""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor"" ""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor128"" ""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor256"" ""[+]_custom_for_vecavx512+TurboPFor_TurboRLE"""
13,../../../../tiffs/geotiffs/2656.tif,threshold,"""[+]_custom_rle_vecavx512+FastPFor_VariableByte"" ""[+]_custom_dict_vecavx+simdcomp""","""[+]_custom_rle_vecavx512+FastPFor_VariableByte"" ""[+]_custom_dict_vecavx+simdcomp""","""[+]_custom_rle_vecavx512+FastPFor_VariableByte"" ""[+]_custom_dict_vecavx+simdcomp""","""[+]_custom_dict_vecavx+simdcomp"" ""[+]_custom_dict_vecavx+TurboPFor_TurboRLE"" ""[+]_custom_dict_vecavx+TurboPFor_Xor+TurboRLE"" ""[+]_custom_dict_vecavx+TurboPFor_Zigzag+TurboRLE"" ""[+]_custom_rle_vecavx512+MASKEDVBYTE"""
14,../../../../tiffs/geotiffs/2656.tif,smoothAndShift,"""[+]_custom_rle_vecavx512+FastPFor_VariableByte"" ""[+]_custom_rle_vecavx512+MASKEDVBYTE"" ""TurboPFor_TurboRLE""","""simdcomp"" ""[+]_custom_rle_vecavx512+FastPFor_VariableByte"" ""[+]_custom_rle_vecavx512+MASKEDVBYTE"" ""TurboPFor_TurboRLE""","""[+]_custom_rle_vecavx512+FastPFor_VariableByte"" ""[+]_custom_rle_vecavx512+MASKEDVBYTE"" ""TurboPFor_TurboRLE""","""[+]_custom_for_vecavx512+TurboPFor_TurboRLE"" ""TurboPFor_TurboRLE"" ""[+]_custom_delta_vecavx512+TurboPFor_TurboRLE"" ""[+]_custom_for_vecavx512+TurboPFor_Zigzag_bitio"" ""[+]_custom_rle_vecavx512+MASKEDVBYTE"""
15,../../../../tiffs/geotiffs/2656.tif,indexBasedClassification,"""[+]_custom_rle_vecavx512+FastPFor_VariableByte"" ""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor256""","""custom_rle_vecavx512"" ""[+]_custom_rle_vecavx512+FastPFor_VByte"" ""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor""","""custom_rle_vecavx512"" ""[+]_custom_rle_vecavx512+FastPFor_VariableByte"" ""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor""","""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor"" ""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor128"" ""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor256"" ""[+]_custom_rle_vecavx512+MASKEDVBYTE"" ""[+]_custom_rle_vecavx512+FastPFor_MaskedVByte"""
16,../../../../tiffs/geotiffs/2656.tif,valueBasedClassification,"""[+]_custom_rle_vecavx512+simdcomp"" ""[+]_custom_rle_vecavx512+FastPFor_VariableByte"" ""simdcomp""","""simdcomp""","""[+]_custom_rle_vecavx512+FastPFor_VariableByte"" ""simdcomp""","""[+]_custom_for_vecavx512+simdcomp"" ""[+]_custom_delta_vecavx512+simdcomp"" ""simdcomp"" ""[+]_custom_dict_vecavx+simdcomp"" ""[+]_custom_for_vecavx512+TurboPFor_TurboRLE"""
17,../../../../tiffs/geotiffs/2656.tif,valueShift,"""[+]_custom_rle_vecavx512+simdcomp"" ""[+]_custom_rle_vecavx512+FastPFor_streamvbyte"" ""[+]_custom_rle_vecavx512+FastPFor_VariableByte"" ""[+]_custom_rle_vecavx512+STREAMVBYTE"" ""[+]_custom_rle_vecavx512+LZ4"" ""[+]_custom_rle_vecavx512+Zstd_5"" ""[+]_custom_rle_vecavx512+Zstd_3"" ""[+]_custom_rle_vecavx512+Zstd_1"" ""[+]_custom_rle_vecavx512+DEFLATE"" ""[+]_custom_dict_vecavx+TurboPFor_TurboVSimple""","""custom_rle_vecavx512"" ""[+]_custom_rle_vecavx512+STREAMVBYTE"" ""[+]_custom_rle_vecavx512+Zstd_3"" ""[+]_custom_rle_vecavx512+Zstd_1"" ""[+]_custom_rle_vecavx512+DEFLATE"" ""[+]_custom_dict_vecavx+TurboPFor_TurboVSimple""","""custom_rle_vecavx512"" ""[+]_custom_rle_vecavx512+FastPFor_streamvbyte"" ""[+]_custom_rle_vecavx512+FastPFor_VariableByte"" ""[+]_custom_rle_vecavx512+STREAMVBYTE"" ""[+]_custom_rle_vecavx512+Zstd_3"" ""[+]_custom_rle_vecavx512+Zstd_1"" ""[+]_custom_rle_vecavx512+DEFLATE"" ""[+]_custom_dict_vecavx+TurboPFor_TurboVSimple""","""[+]_custom_dict_vecavx+TurboPFor_TurboVSimple"" ""[+]_custom_dict_vecavx+TurboPFor_Zigzag+TurboVSimple"" ""[+]_custom_dict_vecavx+TurboPFor_Zigzag_bitio"" ""[+]_custom_rle_vecavx512+DEFLATE"" ""TurboPFor_Zigzag_bitio"""
18,../../../../tiffs/geotiffs/JRC_TMF_AnnualChange_v1_1990_AFR_ID16_S10_E10.tif,No Transformation,"""custom_for_vecavx512"" ""custom_delta_vecavx512"" ""custom_rle_vecavx512"" ""[+]_custom_rle_vecavx512+simdcomp"" ""[+]_custom_rle_vecavx512+FastPFor_VarIntG8IU"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDBinaryPacking+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastBinaryPacking32+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDFastPFor256+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDFastPFor128+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDOPTPFor<4,Simple16>+VariableByte"" ""[+]_custom_rle_vecavx512+Zstd_5"" ""[+]_custom_rle_vecavx512+DEFLATE""","""simdcomp"" ""custom_rle_vecavx512"" ""[+]_custom_rle_vecavx512+simdcomp"" ""[+]_custom_rle_vecavx512+STREAMVBYTE"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDBinaryPacking+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastBinaryPacking32+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastBinaryPacking16+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_Simple9"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDSimplePFor+VariableByte"" ""[+]_custom_rle_vecavx512+Zstd_1"" ""[+]_custom_rle_vecavx512+Zstd_3"" ""[+]_custom_rle_vecavx512+Zstd_5"" ""[+]_custom_rle_vecavx512+DEFLATE""","""simdcomp"" ""custom_rle_vecavx512"" ""[+]_custom_rle_vecavx512+simdcomp"" ""[+]_custom_rle_vecavx512+STREAMVBYTE"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDBinaryPacking+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastBinaryPacking32+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastBinaryPacking16+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDFastPFor256+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDFastPFor128+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDSimplePFor+VariableByte"" ""[+]_custom_rle_vecavx512+Zstd_1"" ""[+]_custom_rle_vecavx512+Zstd_3"" ""[+]_custom_rle_vecavx512+Zstd_5"" ""[+]_custom_rle_vecavx512+DEFLATE""","""[+]_custom_rle_vecavx512+DEFLATE"" ""[+]_custom_rle_vecavx512+Zstd_5"" ""[+]_custom_rle_vecavx512+Zstd_3"" ""[+]_custom_rle_vecavx512+Zstd_1"" ""[+]_custom_rle_vecavx512+FastPFor_OPTPFor<4,Simple16>+VariableByte"""
19,../../../../tiffs/geotiffs/JRC_TMF_AnnualChange_v1_1990_AFR_ID16_S10_E10.tif,threshold,"""[+]_custom_rle_vecavx512+FastPFor_JustCopy"" ""[+]_custom_rle_vecavx512+simdcomp"" ""[+]_custom_rle_vecavx512+FastPFor_VarIntG8IU"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDBinaryPacking+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastBinaryPacking32+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDFastPFor256+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDFastPFor128+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastPFor128+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDOPTPFor<4,Simple16>+VariableByte"" ""[+]_custom_rle_vecavx512+Zstd_5"" ""[+]_custom_rle_vecavx512+Zstd_3"" ""[+]_custom_rle_vecavx512+Zstd_1""","""simdcomp"" ""[+]_custom_rle_vecavx512+simdcomp"" ""[+]_custom_rle_vecavx512+STREAMVBYTE"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDBinaryPacking+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastBinaryPacking32+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastBinaryPacking16+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDSimplePFor+VariableByte"" ""[+]_custom_rle_vecavx512+Zstd_1""","""[+]_custom_rle_vecavx512+simdcomp"" ""[+]_custom_rle_vecavx512+STREAMVBYTE"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDBinaryPacking+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastBinaryPacking32+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastBinaryPacking16+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDFastPFor256+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDFastPFor128+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastPFor128+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDSimplePFor+VariableByte"" ""[+]_custom_rle_vecavx512+Zstd_1""","""[+]_custom_rle_vecavx512+Zstd_1"" ""[+]_custom_rle_vecavx512+Zstd_3"" ""[+]_custom_rle_vecavx512+Zstd_5"" ""[+]_custom_rle_vecavx512+DEFLATE"" ""TurboPFor_TurboVSimple"""
20,../../../../tiffs/geotiffs/JRC_TMF_AnnualChange_v1_1990_AFR_ID16_S10_E10.tif,smoothAndShift,"""[+]_custom_rle_vecavx512+FastPFor_JustCopy"" ""[+]_custom_rle_vecavx512+simdcomp"" ""[+]_custom_rle_vecavx512+FastPFor_VarIntG8IU"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDBinaryPacking+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastBinaryPacking32+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDFastPFor256+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDOPTPFor<4,Simple16>+VariableByte"" ""[+]_custom_rle_vecavx512+DEFLATE""","""simdcomp"" ""[+]_custom_rle_vecavx512+simdcomp"" ""[+]_custom_rle_vecavx512+STREAMVBYTE"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDBinaryPacking+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastBinaryPacking32+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDSimplePFor+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_OPTPFor<4,Simple16>+VariableByte"" ""[+]_custom_rle_vecavx512+DEFLATE""","""simdcomp"" ""[+]_custom_rle_vecavx512+simdcomp"" ""[+]_custom_rle_vecavx512+STREAMVBYTE"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDBinaryPacking+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastBinaryPacking32+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDFastPFor256+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDSimplePFor+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_OPTPFor<4,Simple16>+VariableByte"" ""[+]_custom_rle_vecavx512+DEFLATE""","""[+]_custom_rle_vecavx512+DEFLATE"" ""[+]_custom_rle_vecavx512+FastPFor_OPTPFor<4,Simple16>+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDOPTPFor<4,Simple16>+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDSimplePFor+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastPFor256+VariableByte"""
21,../../../../tiffs/geotiffs/JRC_TMF_AnnualChange_v1_1990_AFR_ID16_S10_E10.tif,indexBasedClassification,"""[+]_custom_rle_vecavx512+simdcomp"" ""[+]_custom_rle_vecavx512+FastPFor_VariableByte"" ""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor256""","""[+]_custom_rle_vecavx512+FastPFor_VByte"" ""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor""","""[+]_custom_rle_vecavx512+FastPFor_VariableByte"" ""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor""","""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor"" ""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor128"" ""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor256"" ""[+]_custom_rle_vecavx512+MASKEDVBYTE"" ""[+]_custom_rle_vecavx512+FastPFor_MaskedVByte"""
22,../../../../tiffs/geotiffs/JRC_TMF_AnnualChange_v1_1990_AFR_ID16_S10_E10.tif,valueBasedClassification,"""[+]_custom_rle_vecavx512+FastPFor_VariableByte"" ""simdcomp""","""simdcomp""","""[+]_custom_rle_vecavx512+FastPFor_VariableByte"" ""simdcomp""","""[+]_custom_delta_vecavx512+simdcomp"" ""[+]_custom_for_vecavx512+simdcomp"" ""simdcomp"" ""[+]_custom_dict_vecavx+simdcomp"" ""[+]_custom_delta_vecavx512+TurboPFor_TurboRLE"""
23,../../../../tiffs/geotiffs/JRC_TMF_AnnualChange_v1_1990_AFR_ID16_S10_E10.tif,valueShift,"""[+]_custom_rle_vecavx512+FastPFor_JustCopy"" ""[+]_custom_rle_vecavx512+simdcomp"" ""[+]_custom_rle_vecavx512+FastPFor_streamvbyte"" ""[+]_custom_rle_vecavx512+STREAMVBYTE"" ""[+]_custom_rle_vecavx512+LZ4"" ""[+]_custom_rle_vecavx512+Zstd_5"" ""[+]_custom_rle_vecavx512+DEFLATE""","""[+]_custom_rle_vecavx512+simdcomp"" ""[+]_custom_rle_vecavx512+STREAMVBYTE"" ""[+]_custom_rle_vecavx512+LZ4"" ""[+]_custom_rle_vecavx512+Zstd_1"" ""[+]_custom_rle_vecavx512+Zstd_3"" ""[+]_custom_rle_vecavx512+Zstd_5"" ""[+]_custom_rle_vecavx512+DEFLATE""","""[+]_custom_rle_vecavx512+simdcomp"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDBinaryPacking+VariableByte"" ""[+]_custom_rle_vecavx512+STREAMVBYTE"" ""[+]_custom_rle_vecavx512+LZ4"" ""[+]_custom_rle_vecavx512+Zstd_1"" ""[+]_custom_rle_vecavx512+Zstd_3"" ""[+]_custom_rle_vecavx512+Zstd_5"" ""[+]_custom_rle_vecavx512+DEFLATE""","""[+]_custom_rle_vecavx512+DEFLATE"" ""[+]_custom_rle_vecavx512+Zstd_5"" ""[+]_custom_rle_vecavx512+Zstd_3"" ""[+]_custom_rle_vecavx512+Zstd_1"" ""[+]_custom_for_vecavx512+Zstd_5"""
24,../../../../tiffs/geotiffs/accessibility.tif,No Transformation,"""custom_for_vecavx512"" ""custom_delta_vecavx512"" ""simdcomp"" ""FastPFor_SIMDBinaryPacking+VariableByte"" ""FastPFor_SIMDFastPFor256+VariableByte"" ""TurboPFor_TurboPFor256"" ""TurboPFor_xor+TurboPack256"" ""TurboPFor_Zigzag+TurboPack256"" ""TurboPFor_Zigzag+TurboPFor256""","""simdcomp"" ""FastPFor_SIMDBinaryPacking+VariableByte"" ""TurboPFor_xor+TurboPack256"" ""TurboPFor_Zigzag+TurboPack256"" ""[+]_custom_delta_vecavx512+FastPFor_SIMDBinaryPacking+VariableByte"" ""[+]_custom_delta_vecavx512+FastPFor_FastBinaryPacking32+VariableByte"" ""TurboPFor_Zigzag+TurboVSimple"" ""TurboPFor_Zigzag+TurboPFor256""","""simdcomp"" ""FastPFor_SIMDBinaryPacking+VariableByte"" ""TurboPFor_xor+TurboPack256"" ""TurboPFor_Zigzag+TurboPack256"" ""[+]_custom_delta_vecavx512+FastPFor_SIMDBinaryPacking+VariableByte"" ""[+]_custom_delta_vecavx512+FastPFor_FastBinaryPacking32+VariableByte"" ""TurboPFor_Zigzag+TurboVSimple"" ""TurboPFor_Zigzag+TurboPFor256""","""TurboPFor_Zigzag+TurboPFor256"" ""TurboPFor_Zigzag+TurboVSimple"" ""TurboPFor_zzag/delta+TurboPFor128"" ""[+]_custom_delta_vecavx512+TurboPFor_Zigzag+TurboPFor256"" ""[+]_custom_for_vecavx512+TurboPFor_Zigzag+TurboPFor256"""
25,../../../../tiffs/geotiffs/accessibility.tif,threshold,"""custom_for_vecavx512"" ""custom_delta_vecavx512"" ""FastPFor_MaskedVByte"" ""FastPFor_SIMDPFor+VariableByte"" ""custom_rle_vecavx512"" ""TurboPFor_TurboPFor256"" ""TurboPFor_TurboVSimple"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDOPTPFor<4,Simple16>+VariableByte"" ""[+]_custom_rle_vecavx512+Zstd_5"" ""[+]_custom_rle_vecavx512+Zstd_3"" ""[+]_custom_rle_vecavx512+Zstd_1""","""simdcomp"" ""FastPFor_SIMDBinaryPacking+VariableByte"" ""custom_rle_vecavx512"" ""TurboPFor_xor+TurboPack256"" ""[+]_custom_rle_vecavx512+FastPFor_VByte"" ""[+]_custom_rle_vecavx512+MASKEDVBYTE"" ""[+]_custom_rle_vecavx512+FastPFor_FastBinaryPacking32+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastBinaryPacking16+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDFastPFor256+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDSimplePFor+VariableByte"" ""TurboPFor_TurboVSimple"" ""[+]_custom_rle_vecavx512+Zstd_3"" ""[+]_custom_rle_vecavx512+Zstd_1""","""custom_delta_vecavx512"" ""custom_rle_vecavx512"" ""TurboPFor_xor+TurboPack256"" ""[+]_custom_rle_vecavx512+FastPFor_varintgb"" ""[+]_custom_rle_vecavx512+FastPFor_VByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastBinaryPacking32+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastBinaryPacking16+VariableByte"" ""TurboPFor_TurboVSimple"" ""[+]_custom_rle_vecavx512+Zstd_3"" ""[+]_custom_rle_vecavx512+Zstd_1""","""[+]_custom_rle_vecavx512+Zstd_1"" ""[+]_custom_rle_vecavx512+Zstd_3"" ""[+]_custom_rle_vecavx512+Zstd_5"" ""[+]_custom_rle_vecavx512+DEFLATE"" ""[+]_custom_rle_vecavx512+FastPFor_OPTPFor<4,Simple16>+VariableByte"""
26,../../../../tiffs/geotiffs/accessibility.tif,smoothAndShift,"""custom_for_vecavx512"" ""custom_delta_vecavx512"" ""simdcomp"" ""FastPFor_SIMDPFor+VariableByte"" ""FastPFor_SIMDBinaryPacking+VariableByte"" ""FastPFor_SIMDFastPFor256+VariableByte"" ""TurboPFor_TurboPFor256"" ""TurboPFor_xor+TurboPack256"" ""TurboPFor_Zigzag+TurboPack256"" ""TurboPFor_Zigzag+TurboPFor256"" ""TurboPFor_Zigzag+TurboVSimple""","""simdcomp"" ""FastPFor_SIMDBinaryPacking+VariableByte"" ""TurboPFor_xor+TurboPack256"" ""TurboPFor_Zigzag+TurboPack256"" ""TurboPFor_Zigzag+TurboVSimple""","""simdcomp"" ""FastPFor_SIMDBinaryPacking+VariableByte"" ""TurboPFor_xor+TurboPack256"" ""TurboPFor_Zigzag+TurboPack256"" ""TurboPFor_Zigzag+TurboVSimple""","""TurboPFor_Zigzag+TurboVSimple"" ""TurboPFor_Zigzag+TurboPFor256"" ""TurboPFor_zzag/delta+TurboPFor128"" ""[+]_custom_for_vecavx512+TurboPFor_Zigzag+TurboVSimple"" ""[+]_custom_for_vecavx512+TurboPFor_Zigzag+TurboPFor256"""
27,../../../../tiffs/geotiffs/accessibility.tif,indexBasedClassification,"""custom_rle_vecavx512"" ""[+]_custom_rle_vecavx512+FastPFor_FastBinaryPacking32+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_VariableByte"" ""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor256""","""custom_rle_vecavx512"" ""[+]_custom_rle_vecavx512+FastPFor_VariableByte"" ""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor256""","""custom_rle_vecavx512"" ""[+]_custom_rle_vecavx512+FastPFor_VariableByte"" ""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor256""","""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor"" ""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor128"" ""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor256"" ""[+]_custom_rle_vecavx512+MASKEDVBYTE"" ""[+]_custom_rle_vecavx512+FastPFor_MaskedVByte"""
28,../../../../tiffs/geotiffs/accessibility.tif,valueBasedClassification,"""custom_for_vecavx512"" ""custom_delta_vecavx512"" ""simdcomp"" ""FastPFor_SIMDBinaryPacking+VariableByte"" ""FastPFor_SIMDFastPFor256+VariableByte"" ""TurboPFor_TurboPFor256"" ""TurboPFor_xor+TurboPack256"" ""TurboPFor_TurboPFor128"" ""TurboPFor_TurboVSimple"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDFastPFor256+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDFastPFor128+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastPFor128+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDOPTPFor<4,Simple16>+VariableByte"" ""[+]_custom_rle_vecavx512+Zstd_3"" ""[+]_custom_rle_vecavx512+DEFLATE""","""simdcomp"" ""FastPFor_SIMDBinaryPacking+VariableByte"" ""TurboPFor_xor+TurboPack256"" ""[+]_custom_rle_vecavx512+simdcomp"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDBinaryPacking+VariableByte"" ""TurboPFor_TurboVSimple"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDFastPFor256+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDSimplePFor+VariableByte"" ""[+]_custom_rle_vecavx512+Zstd_1"" ""[+]_custom_rle_vecavx512+Zstd_3"" ""[+]_custom_rle_vecavx512+DEFLATE""","""simdcomp"" ""FastPFor_SIMDBinaryPacking+VariableByte"" ""TurboPFor_xor+TurboPack256"" ""TurboPFor_TurboVSimple"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDFastPFor256+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDFastPFor128+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastPFor128+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDSimplePFor+VariableByte"" ""[+]_custom_rle_vecavx512+Zstd_1"" ""[+]_custom_rle_vecavx512+Zstd_3"" ""[+]_custom_rle_vecavx512+DEFLATE""","""[+]_custom_rle_vecavx512+DEFLATE"" ""[+]_custom_rle_vecavx512+Zstd_3"" ""[+]_custom_rle_vecavx512+Zstd_1"" ""[+]_custom_rle_vecavx512+Zstd_5"" ""[+]_custom_rle_vecavx512+FastPFor_OPTPFor<4,Simple16>+VariableByte"""
29,../../../../tiffs/geotiffs/accessibility.tif,valueShift,"""custom_for_vecavx512"" ""custom_delta_vecavx512"" ""FastPFor_SIMDPFor+VariableByte"" ""simdcomp"" ""TurboPFor_TurboPFor256"" ""TurboPFor_TurboPFor128"" ""TurboPFor_xor+TurboPack256"" ""TurboPFor_Zigzag+TurboPack256"" ""TurboPFor_Zigzag+TurboPFor256""","""custom_delta_vecavx512"" ""simdcomp"" ""TurboPFor_xor+TurboPack256"" ""TurboPFor_Zigzag+TurboPack256"" ""[+]_custom_delta_vecavx512+FastPFor_SIMDBinaryPacking+VariableByte"" ""[+]_custom_delta_vecavx512+FastPFor_FastBinaryPacking32+VariableByte"" ""TurboPFor_Zigzag+TurboVSimple"" ""TurboPFor_Zigzag+TurboPFor256""","""custom_delta_vecavx512"" ""simdcomp"" ""TurboPFor_xor+TurboPack256"" ""TurboPFor_Zigzag+TurboPack256"" ""[+]_custom_delta_vecavx512+FastPFor_SIMDBinaryPacking+VariableByte"" ""[+]_custom_delta_vecavx512+FastPFor_FastBinaryPacking32+VariableByte"" ""TurboPFor_Zigzag+TurboVSimple"" ""TurboPFor_Zigzag+TurboPFor256""","""TurboPFor_Zigzag+TurboPFor256"" ""TurboPFor_Zigzag+TurboVSimple"" ""TurboPFor_zzag/delta+TurboPFor128"" ""[+]_custom_delta_vecavx512+TurboPFor_Zigzag+TurboPFor256"" ""[+]_custom_for_vecavx512+TurboPFor_Zigzag+TurboPFor256"""
